İL KAYIT NO,İLÇE KAYIT NO,BELDE/ KÖY KAYIT NO,MAHALLE KAYIT NO,İL ADI,İLÇE ADI,BELEDİYE ADI,MAHALLE ADI,MEDENİ DURUM,TOPLAM,ERKEK,KADIN,yıl,BELDE/KÖY ADI
6,1231,2431,1521,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AYDINLAR,EVLİ,2712.0,1335.0,1377.0,2022,
6,1231,2431,1521,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AYDINLAR,BOŞANDI,441.0,147.0,294.0,2022,
6,1231,2431,1521,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AYDINLAR,EŞİ ÖLDÜ,318.0,45.0,273.0,2022,
6,1231,2431,1522,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AYRANCI,HİÇ EVLENMEDİ,4505.0,2129.0,2376.0,2022,
6,1231,2431,1522,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AYRANCI,EVLİ,7137.0,3500.0,3637.0,2022,
6,1231,2431,1522,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AYRANCI,BOŞANDI,1663.0,562.0,1101.0,2022,
6,1231,2431,1522,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AYRANCI,EŞİ ÖLDÜ,1194.0,127.0,1067.0,2022,
6,1231,2431,1523,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AZİZİYE,HİÇ EVLENMEDİ,2946.0,1424.0,1522.0,2022,
6,1231,2431,1523,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AZİZİYE,EVLİ,4772.0,2337.0,2435.0,2022,
6,1231,2431,1523,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AZİZİYE,BOŞANDI,1135.0,399.0,736.0,2022,
6,1231,2431,1523,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,AZİZİYE,EŞİ ÖLDÜ,743.0,74.0,669.0,2022,
6,1231,2431,1524,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,BADEMLİDERE,HİÇ EVLENMEDİ,521.0,274.0,247.0,2022,
6,1231,2431,1524,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,BADEMLİDERE,EVLİ,1066.0,528.0,538.0,2022,
6,1231,2431,1524,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,BADEMLİDERE,BOŞANDI,151.0,65.0,86.0,2022,
6,1231,2431,1524,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,BADEMLİDERE,EŞİ ÖLDÜ,70.0,,,2022,
6,1231,2431,1525,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,BAĞCILAR,HİÇ EVLENMEDİ,779.0,375.0,404.0,2022,
6,1231,2431,1525,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,BAĞCILAR,EVLİ,1599.0,789.0,810.0,2022,
6,1231,2431,1525,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,BAĞCILAR,BOŞANDI,266.0,80.0,186.0,2022,
6,1231,2431,1525,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,BAĞCILAR,EŞİ ÖLDÜ,109.0,,,2022,
6,1231,2431,1526,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,BAHÇELİEVLER,HİÇ EVLENMEDİ,3833.0,1572.0,2261.0,2022,
6,1231,2431,1526,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,BAHÇELİEVLER,EVLİ,4286.0,2036.0,2250.0,2022,
6,1231,2431,1526,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,BAHÇELİEVLER,BOŞANDI,841.0,262.0,579.0,2022,
6,1231,2431,1526,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,BAHÇELİEVLER,EŞİ ÖLDÜ,719.0,64.0,655.0,2022,
6,1231,2431,1527,ANKARA,ÇANKAYA,ÇANKAYA BELEDİYESİ,BARBAROS,HİÇ EVLENMEDİ,1615.0,768.0,847.0,2022,
